Fazoli's  13201 Ranch Road 620 N Suite S  Austin  TX 78717
Timing: 3:00PM - 9:30PM

Name,ID,Category,Description,Price,Calories,Suggested Item
Soft Drinks=>Lemonade Lite,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Sprite,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Sweet Tea,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Soft Drinks=>Unsweet Tea,104413290.0,Drinks and Italian Ice,,2.19,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Spaghetti with Marinara,104413282.0,Fazoli's Fan Favorites,Spaghetti topped with  Marinara Sauce.  Vegetarian friendly. ,6.89,510,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Spaghetti with Meat Sauce,104413283.0,Fazoli's Fan Favorites,Spaghetti topped with Meat Sauce. friendly. ,6.89,610,"['Italian Sausage', 'Chocolate Chunk Brownie', 'Extra Breadsticks (Half Dozen)']"
Spaghetti with Meatballs,104413279.0,Popular Items/Fazoli's Fan Favorites,Spaghetti Topped with Marinara and Italian Meatballs.  ,7.89,740,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Spicy Penne with Meat=>Chicken,104413247.0,Signature Pasta Bakes,"Spicy tomato pepper sauce, sausage or chicken. Fresh spinach, garlic-roasted mushrooms.  ",8.49,740,"['Caesar Side Salad', 'Meatballs', 'Chocolate Chunk Cookie']"
Spicy Penne with Meat=>Sausage,104413247.0,Signature Pasta Bakes,"Spicy tomato pepper sauce, sausage or chicken. Fresh spinach, garlic-roasted mushrooms.  ",8.49,740,"['Caesar Side Salad', 'Meatballs', 'Chocolate Chunk Cookie']"
The Primo Italiano,104413253.0,Primo Submarines,"Genoa solami capicola, ham, mozzarella, tomatoes. Red onion pepperoncini lettuce, Red wine balsamic vinaigrette.  ",7.49,840,"['Chocolate Chunk Brownie', 'Broccoli', 'Caesar Side Salad']"
Triple Chocolate Cheesecake,104413294.0,Popular Items/Desserts,Rich Dark Chocolate Cheesecake loaded with Chocolate Chips and topped with a layer of Chocolate Ganache. Served with HERSHEY'S® Chocolate Sauce,3.29,,"['Meatballs', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Turkey Club Classico,104413251.0,Primo Submarines,"Smoked turkey, ham bocon, mozzarella tomatoes, red onion lettuce, parmesan peppercorn ranch.  ",7.49,720,"['Roasted Chicken', 'Broccoli', 'Garlic-Roasted Mushrooms']"
Ultimate Fettuccine,104413241.0,Specialty Pastas,"Alfredo chicken bocon garlic-roasted mushrooms, broccolli.  ",8.49,900,"['Triple Chocolate Cheesecake', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Ultimate Sampler,104413291.0,Popular Items/Samplers,"Fettuccine alfredo, penne with meat sauce. Spaghetti and meatball, lasagna with meat sauce.  ",8.49,1050,"['Italian Sausage', 'Extra Breadsticks (Dozen)', 'Extra Breadsticks (Half Dozen)']"
Ultimate Spaghetti,104413242.0,Specialty Pastas,"Marinoro, meatballs, Sausage bacon, garlic-roasted mushrooms.  ",8.49,920,"['Garlic-Roasted Mushrooms', 'Triple Chocolate Cheesecake', 'Broccoli']"
Whole Pizza - 8 Slices=>Cheese,104413249.0,Pizza,Cheese or pepperoni.,12.99,,"['Broccoli', 'Italian Sausage', 'Chicken Bacon Caesar']"
Whole Pizza - 8 Slices=>Pepperoni,104413249.0,Pizza,Cheese or pepperoni.,12.99,,"['Broccoli', 'Italian Sausage', 'Chicken Bacon Caesar']"
